Cod;Nome;Periodo;Valor
12;AC;2000;35
27;AL;2000;451
13;AM;2000;234
16;AP;2000;31
29;BA;2000;705
23;CE;2000;603
53;DF;2000;477
32;ES;2000;941
52;GO;2000;633
21;MA;2000;129
31;MG;2000;1303
50;MS;2000;407
51;MT;2000;648
15;PA;2000;437
25;PB;2000;340
26;PE;2000;3405
22;PI;2000;96
41;PR;2000;1015
33;RJ;2000;5744
24;RN;2000;138
11;RO;2000;259
14;RR;2000;43
43;RS;2000;1159
42;SC;2000;196
28;SE;2000;261
35;SP;2000;9043
17;TO;2000;89
12;AC;2001;51
27;AL;2001;575
13;AM;2001;184
16;AP;2001;42
29;BA;2001;1079
23;CE;2001;595
53;DF;2001;470
32;ES;2001;939
52;GO;2001;687
21;MA;2001;202
31;MG;2001;1461
50;MS;2001;358
51;MT;2001;539
15;PA;2001;497
25;PB;2001;323
26;PE;2001;3748
22;PI;2001;95
41;PR;2001;1165
33;RJ;2001;5740
24;RN;2001;202
11;RO;2001;343
14;RR;2001;41
43;RS;2001;1241
42;SC;2001;244
28;SE;2001;347
35;SP;2001;10006
17;TO;2001;120
12;AC;2002;63
27;AL;2002;675
13;AM;2002;186
16;AP;2002;45
29;BA;2002;1159
23;CE;2002;692
53;DF;2002;440
32;ES;2002;1132
52;GO;2002;817
21;MA;2002;239
31;MG;2002;1907
50;MS;2002;386
51;MT;2002;537
15;PA;2002;661
25;PB;2002;393
26;PE;2002;3453
22;PI;2002;110
41;PR;2002;1402
33;RJ;2002;6308
24;RN;2002;186
11;RO;2002;371
14;RR;2002;43
43;RS;2002;1266
42;SC;2002;281
28;SE;2002;388
35;SP;2002;8867
17;TO;2002;76
12;AC;2003;52
27;AL;2003;740
13;AM;2003;157
16;AP;2003;65
29;BA;2003;1520
23;CE;2003;800
53;DF;2003;520
32;ES;2003;1107
52;GO;2003;797
21;MA;2003;324
31;MG;2003;2615
50;MS;2003;395
51;MT;2003;515
15;PA;2003;826
25;PB;2003;436
26;PE;2003;3580
22;PI;2003;133
41;PR;2003;1627
33;RJ;2003;6024
24;RN;2003;272
11;RO;2003;348
14;RR;2003;38
43;RS;2003;1270
42;SC;2003;384
28;SE;2003;321
35;SP;2003;9032
17;TO;2003;93
12;AC;2004;42
27;AL;2004;719
13;AM;2004;213
16;AP;2004;69
29;BA;2004;1511
23;CE;2004;865
53;DF;2004;476
32;ES;2004;1108
52;GO;2004;937
21;MA;2004;332
31;MG;2004;3035
