Cod;Nome;Periodo;Valor
17;TO;2000;8
12;AC;2000;4
27;AL;2000;33
13;AM;2000;13
16;AP;2000;2
29;BA;2000;59
23;CE;2000;54
53;DF;2000;23
32;ES;2000;63
52;GO;2000;71
21;MA;2000;12
31;MG;2000;117
50;MS;2000;41
51;MT;2000;43
15;PA;2000;24
25;PB;2000;32
26;PE;2000;212
22;PI;2000;2
41;PR;2000;76
33;RJ;2000;375
24;RN;2000;9
11;RO;2000;18
14;RR;2000;4
43;RS;2000;91
42;SC;2000;26
28;SE;2000;18
35;SP;2000;599
43;RS;2001;102
12;AC;2001;3
27;AL;2001;29
13;AM;2001;15
16;AP;2001;1
29;BA;2001;50
23;CE;2001;43
53;DF;2001;25
32;ES;2001;80
52;GO;2001;64
21;MA;2001;19
31;MG;2001;97
50;MS;2001;35
51;MT;2001;42
15;PA;2001;46
25;PB;2001;23
26;PE;2001;194
22;PI;2001;7
41;PR;2001;101
33;RJ;2001;384
24;RN;2001;14
11;RO;2001;34
14;RR;2001;1
42;SC;2001;25
28;SE;2001;19
35;SP;2001;618
17;TO;2001;11
35;SP;2002;547
12;AC;2002;3
27;AL;2002;45
13;AM;2002;15
16;AP;2002;5
29;BA;2002;60
23;CE;2002;49
53;DF;2002;29
32;ES;2002;88
52;GO;2002;76
21;MA;2002;14
31;MG;2002;142
50;MS;2002;34
51;MT;2002;45
15;PA;2002;33
25;PB;2002;25
26;PE;2002;182
22;PI;2002;10
41;PR;2002;92
33;RJ;2002;362
24;RN;2002;7
11;RO;2002;21
14;RR;2002;5
17;TO;2002;7
43;RS;2002;107
42;SC;2002;36
28;SE;2002;14
17;TO;2003;5
12;AC;2003;5
27;AL;2003;34
13;AM;2003;14
16;AP;2003;5
29;BA;2003;68
23;CE;2003;46
53;DF;2003;41
32;ES;2003;71
52;GO;2003;69
21;MA;2003;27
31;MG;2003;200
50;MS;2003;35
51;MT;2003;40
15;PA;2003;45
25;PB;2003;22
26;PE;2003;186
22;PI;2003;10
41;PR;2003;119
33;RJ;2003;336
24;RN;2003;17
11;RO;2003;33
14;RR;2003;3
43;RS;2003;95
42;SC;2003;30
28;SE;2003;18
35;SP;2003;538
17;TO;2004;6
12;AC;2004;7
27;AL;2004;35
13;AM;2004;14
16;AP;2004;5
29;BA;2004;78
23;CE;2004;51
53;DF;2004;29
32;ES;2004;80
52;GO;2004;50
21;MA;2004;23
31;MG;2004;220
50;MS;2004;24
51;MT;2004;36
15;PA;2004;42
25;PB;2004;41
26;PE;2004;189
22;PI;2004;8
41;PR;2004;132
33;RJ;2004;338
24;RN;2004;9
11;RO;2004;20
14;RR;2004;1
43;RS;2004;106
42;SC;2004;32
28;SE;2004;14
35;SP;2004;458
15;PA;2005;56
12;AC;2005;1
27;AL;2005;36
13;AM;2005;13
16;AP;2005;5
29;BA;2005;114
23;CE;2005;66
53;DF;2005;25
32;ES;2005;101
52;GO;2005;52
21;MA;2005;21
31;MG;2005;204
50;MS;2005;26
51;MT;2005;32
25;PB;2005;36
26;PE;2005;197
22;PI;2005;11
41;PR;2005;121
33;RJ;2005;329
24;RN;2005;12
11;RO;2005;25
14;RR;2005;2
43;RS;2005;114
42;SC;2005;33
28;SE;2005;12
35;SP;2005;367
17;TO;2005;6
50;MS;2006;17
12;AC;2006;2
27;AL;2006;64
13;AM;2006;22
16;AP;2006;0
29;BA;2006;131
23;CE;2006;43
53;DF;2006;33
32;ES;2006;100
52;GO;2006;69
21;MA;2006;24
31;MG;2006;204
51;MT;2006;22
15;PA;2006;71
25;PB;2006;39
26;PE;2006;197
22;PI;2006;11
41;PR;2006;140
33;RJ;2006;319
24;RN;2006;21
11;RO;2006;25
14;RR;2006;3
43;RS;2006;83
42;SC;2006;34
28;SE;2006;15
35;SP;2006;387
17;TO;2006;6
28;SE;2007;19
12;AC;2007;4
27;AL;2007;74
13;AM;2007;25
16;AP;2007;5
29;BA;2007;133
23;CE;2007;43
53;DF;2007;28
32;ES;2007;111
52;GO;2007;73
21;MA;2007;23
31;MG;2007;218
35;SP;2007;291
50;MS;2007;29
51;MT;2007;35
17;TO;2007;8
15;PA;2007;58
25;PB;2007;42
26;PE;2007;192
22;PI;2007;15
41;PR;2007;134
33;RJ;2007;272
24;RN;2007;23
11;RO;2007;9
14;RR;2007;2
43;RS;2007;100
42;SC;2007;21
23;CE;2008;48
17;TO;2008;10
35;SP;2008;292
28;SE;2008;11
42;SC;2008;43
43;RS;2008;118
14;RR;2008;2
11;RO;2008;17
24;RN;2008;36
33;RJ;2008;219
41;PR;2008;168
22;PI;2008;8
26;PE;2008;166
25;PB;2008;49
15;PA;2008;89
51;MT;2008;36
50;MS;2008;22
31;MG;2008;174
21;MA;2008;25
52;GO;2008;82
32;ES;2008;124
53;DF;2008;38
29;BA;2008;193
16;AP;2008;3
13;AM;2008;20
27;AL;2008;55
12;AC;2008;0
23;CE;2009;68
29;BA;2009;220
16;AP;2009;3
13;AM;2009;28
27;AL;2009;81
12;AC;2009;2
53;DF;2009;43
32;ES;2009;130
52;GO;2009;76
21;MA;2009;32
31;MG;2009;197
50;MS;2009;28
51;MT;2009;44
15;PA;2009;84
25;PB;2009;67
26;PE;2009;186
22;PI;2009;14
41;PR;2009;199
33;RJ;2009;199
24;RN;2009;30
11;RO;2009;28
14;RR;2009;4
43;RS;2009;126
42;SC;2009;39
28;SE;2009;16
35;SP;2009;235
17;TO;2009;12
21;MA;2010;42
23;CE;2010;103
53;DF;2010;42
32;ES;2010;94
52;GO;2010;80
31;MG;2010;197
17;TO;2010;9
35;SP;2010;232
28;SE;2010;18
42;SC;2010;42
43;RS;2010;119
14;RR;2010;2
11;RO;2010;17
24;RN;2010;33
33;RJ;2010;191
41;PR;2010;189
22;PI;2010;16
26;PE;2010;152
25;PB;2010;79
15;PA;2010;126
51;MT;2010;27
50;MS;2010;21
29;BA;2010;235
16;AP;2010;5
13;AM;2010;28
27;AL;2010;88
12;AC;2010;7
17;TO;2011;13
35;SP;2011;192
28;SE;2011;30
42;SC;2011;33
43;RS;2011;114
14;RR;2011;0
11;RO;2011;22
24;RN;2011;44
33;RJ;2011;177
41;PR;2011;139
22;PI;2011;10
26;PE;2011;143
25;PB;2011;108
15;PA;2011;106
51;MT;2011;34
50;MS;2011;35
31;MG;2011;220
21;MA;2011;51
52;GO;2011;129
32;ES;2011;105
53;DF;2011;44
23;CE;2011;119
29;BA;2011;250
16;AP;2011;9
13;AM;2011;32
27;AL;2011;94
12;AC;2011;5
12;AC;2012;4
14;RR;2012;3
43;RS;2012;135
42;SC;2012;37
11;RO;2012;26
28;SE;2012;30
35;SP;2012;205
17;TO;2012;18
24;RN;2012;32
33;RJ;2012;184
41;PR;2012;166
22;PI;2012;18
26;PE;2012;116
25;PB;2012;89
15;PA;2012;119
51;MT;2012;37
50;MS;2012;13
31;MG;2012;216
21;MA;2012;41
52;GO;2012;133
32;ES;2012;106
53;DF;2012;42
23;CE;2012;142
29;BA;2012;262
16;AP;2012;6
13;AM;2012;52
27;AL;2012;100
11;RO;2013;18
24;RN;2013;54
33;RJ;2013;185
41;PR;2013;124
22;PI;2013;22
26;PE;2013;139
25;PB;2013;84
17;TO;2013;12
35;SP;2013;174
28;SE;2013;30
42;SC;2013;36
43;RS;2013;112
14;RR;2013;5
15;PA;2013;121
51;MT;2013;34
50;MS;2013;24
31;MG;2013;205
21;MA;2013;58
52;GO;2013;141
32;ES;2013;114
53;DF;2013;39
23;CE;2013;200
29;BA;2013;241
16;AP;2013;6
13;AM;2013;33
27;AL;2013;103
12;AC;2013;9
24;RN;2014;68
14;RR;2014;4
43;RS;2014;129
42;SC;2014;39
28;SE;2014;50
35;SP;2014;199
17;TO;2014;13
12;AC;2014;6
27;AL;2014;85
13;AM;2014;33
16;AP;2014;8
29;BA;2014;216
23;CE;2014;200
53;DF;2014;30
32;ES;2014;89
52;GO;2014;153
21;MA;2014;75
31;MG;2014;171
50;MS;2014;20
51;MT;2014;45
15;PA;2014;132
25;PB;2014;81
26;PE;2014;138
22;PI;2014;25
41;PR;2014;138
33;RJ;2014;215
11;RO;2014;28
53;DF;2015;24
23;CE;2015;166
29;BA;2015;219
16;AP;2015;7
13;AM;2015;44
27;AL;2015;61
12;AC;2015;5
17;TO;2015;13
35;SP;2015;175
28;SE;2015;53
42;SC;2015;34
43;RS;2015;158
14;RR;2015;7
11;RO;2015;35
24;RN;2015;57
33;RJ;2015;196
41;PR;2015;94
22;PI;2015;33
26;PE;2015;128
25;PB;2015;73
15;PA;2015;144
51;MT;2015;50
50;MS;2015;19
31;MG;2015;204
21;MA;2015;67
52;GO;2015;134
32;ES;2015;78
16;AP;2016;7
12;AC;2016;11
27;AL;2016;72
13;AM;2016;43
29;BA;2016;261
23;CE;2016;139
53;DF;2016;31
32;ES;2016;57
52;GO;2016;128
21;MA;2016;84
31;MG;2016;169
50;MS;2016;25
51;MT;2016;38
15;PA;2016;178
25;PB;2016;62
26;PE;2016;146
22;PI;2016;22
41;PR;2016;105
33;RJ;2016;202
24;RN;2016;76
11;RO;2016;27
14;RR;2016;7
43;RS;2016;190
42;SC;2016;50
28;SE;2016;39
35;SP;2016;156
17;TO;2016;14
17;TO;2017;18
12;AC;2017;17
27;AL;2017;77
13;AM;2017;51
16;AP;2017;9
29;BA;2017;286
23;CE;2017;282
53;DF;2017;25
32;ES;2017;89
52;GO;2017;129
21;MA;2017;56
31;MG;2017;146
50;MS;2017;21
51;MT;2017;40
15;PA;2017;202
25;PB;2017;51
26;PE;2017;189
22;PI;2017;25
41;PR;2017;110
33;RJ;2017;219
24;RN;2017;122
11;RO;2017;30
14;RR;2017;4
43;RS;2017;188
42;SC;2017;35
28;SE;2017;57
35;SP;2017;163
43;RS;2018;147
12;AC;2018;22
27;AL;2018;44
13;AM;2018;51
16;AP;2018;9
29;BA;2018;257
23;CE;2018;379
53;DF;2018;20
32;ES;2018;55
52;GO;2018;117
21;MA;2018;50
31;MG;2018;137
50;MS;2018;21
51;MT;2018;31
15;PA;2018;197
25;PB;2018;56
26;PE;2018;137
22;PI;2018;14
41;PR;2018;89
33;RJ;2018;198
24;RN;2018;78
11;RO;2018;20
14;RR;2018;9
42;SC;2018;32
28;SE;2018;25
35;SP;2018;116
17;TO;2018;19
24;RN;2019;75
14;RR;2019;6
43;RS;2019;132
42;SC;2019;46
28;SE;2019;28
35;SP;2019;118
29;BA;2019;250
16;AP;2019;10
13;AM;2019;49
27;AL;2019;47
17;TO;2019;16
12;AC;2019;17
23;CE;2019;159
53;DF;2019;20
32;ES;2019;42
52;GO;2019;67
21;MA;2019;44
31;MG;2019;120
50;MS;2019;14
51;MT;2019;33
15;PA;2019;135
25;PB;2019;39
26;PE;2019;127
11;RO;2019;13
22;PI;2019;17
41;PR;2019;86
33;RJ;2019;107
