cod;nome;período;valor
1076;BRA;1996;1703
1076;BRA;1997;8640
1076;BRA;1998;13778
1076;BRA;1999;16171
1076;BRA;2000;18226
1076;BRA;2001;18921
1076;BRA;2002;19106
1076;BRA;2003;19287
1076;BRA;2004;17526
1076;BRA;2005;16056
1076;BRA;2006;16168
1076;BRA;2007;14671
1076;BRA;2008;15053
1076;BRA;2009;15249
1076;BRA;2010;14458
1076;BRA;2011;14283
1076;BRA;2012;14816
1076;BRA;2013;14518
1076;BRA;2014;15121
1076;BRA;2015;14399
1076;BRA;2016;14850
1076;BRA;2017;14734
1076;BRA;2018;12729
1076;BRA;2019;10217
