cod;nome;período;valor
1076;BRA;1996;359
1076;BRA;1997;10970
1076;BRA;1998;16430
1076;BRA;1999;19632
1076;BRA;2000;23549
1076;BRA;2001;25438
1076;BRA;2002;27011
1076;BRA;2003;28621
1076;BRA;2004;28045
1076;BRA;2005;28817
1076;BRA;2006;30272
1076;BRA;2007;30523
1076;BRA;2008;32702
1076;BRA;2009;33929
1076;BRA;2010;35480
1076;BRA;2011;35616
1076;BRA;2012;38755
1076;BRA;2013;39169
1076;BRA;2014;41941
1076;BRA;2015;41592
1076;BRA;2016;45378
1076;BRA;2017;49524
1076;BRA;2018;43890
1076;BRA;2019;34466
